Model,Micro-Architecture / Process,Launch,Cuda Cores,Base Clock (MHz),Max Boost Clock (MHz),Bus Type,Bus Width (bits),Size (GB),Clock (MT/s),Bandwidth (GB/s),Half Precision (GFLOPS),Single Precision (GFLOPS),Double Precision (GFLOPS),TDP (Watts), Price ,Unnamed: 16, Scaled Performance HP , Scaled Performance SP , Scaled Performance DP ,P/P HP (GFLOPS/$),P/P SP (GFLOPS/$),P/P DP (GFLOPS/$),Scaled P/P HP (%),Scaled P/P SP (%),Scaled P/P DP (%),VRAM/$ (GB/$),Scaled VRAM/$ (%),Bandwidth/$ (GB/s/$),Scaled Bandwidth/$ (%),Composite Score,Unnamed: 31,NVLink Support,Bus Interface,L2 Cache (MB),Notes,Profile,Slots,Tensor Cores,Tensor Core Gen,End of Life,EOL Date
GeForce RTX 3070,Samsung 8LPP,10/29/2020,"5,888","1,500","1,725",GDDR6,256,8,"14,000",448,"17,660","17,660",276.00,220, $ 259.99 ,,2.33%,19.39%,1.08%,67.93,67.93,1.06,40.55%,32.58%,1.71%,0.031,6.91%,1.723,11.82%,20.97%,,No,PCIe 4.0 x16,4.0,,,,184,3rd Gen (Ampere),Yes,9/2023
GeForce RTX 2070 Super,TSMC 12FFN,7/9/2019,"2,560","1,605","1,770",GDDR6,256,8,"14,000",448,"16,440","8,220",256.80,215, $ 199.99 ,,2.17%,9.03%,1.00%,82.2,41.1,1.28,49.08%,19.71%,2.07%,0.04,8.99%,2.24,15.37%,15.94%,,2-way NVLink,PCIe 3.0 x16,4.0,,,,320,2nd Gen (Turing),Yes,12/2022
GeForce RTX 3060 Ti,Samsung 8LPP,12/2/2020,"4,864","1,410","1,665",GDDR6,256,8,"14,000",448,"13,700","13,720",214.00,200, $ 229.99 ,,1.81%,15.07%,0.84%,59.57,59.65,0.93,35.56%,28.61%,1.50%,0.035,7.81%,1.948,13.36%,19.60%,,No,PCIe 4.0 x16,4.0,,,,152,3rd Gen (Ampere),Yes,9/2023
GeForce RTX 2070,TSMC 12FFN,10/17/2018,"2,304","1,410","1,620",GDDR6,256,8,"14,000",448,"12,995","6,497",203.04,175, $ 179.99 ,,1.72%,7.14%,0.79%,72.2,36.1,1.13,43.10%,17.31%,1.82%,0.044,9.99%,2.489,17.07%,15.42%,,No,PCIe 3.0 x16,4.0,,,,288,2nd Gen (Turing),Yes,12/2022
GeForce RTX 2060 Super,TSMC 12FFN,7/9/2019,"2,176","1,470","1,650",GDDR6,256,8,"14,000",448,"12,800","6,400",199.92,175, $ 102.50 ,,1.69%,7.03%,0.78%,124.88,62.44,1.95,74.55%,29.94%,3.15%,0.078,17.53%,4.371,29.98%,26.85%,,No,PCIe 3.0 x16,4.0,,,,272,2nd Gen (Turing),Yes,12/2022
GeForce RTX 4060,TSMC 4N,6/29/2023,"3,072","1,830","2,460",GDDR6,128,8,"17,000",272,"11,200","11,200",176.00,115, $ 215.00 ,,1.48%,12.30%,0.69%,52.09,52.09,0.82,31.10%,24.98%,1.32%,0.037,8.36%,1.265,8.68%,16.75%,,No,PCIe 4.0 x8,24.0,,,,96,4th Gen (Ada),No,
GeForce RTX 3060 (8 GB),Samsung 8LPP,10/27/2022,"3,584","1,320","1,777",GDDR6,128,8,"15,000",240,"9,460","9,460",148.00,170, $ 229.99 ,,1.25%,10.39%,0.58%,41.13,41.13,0.64,24.56%,19.73%,1.04%,0.035,7.81%,1.044,7.16%,13.61%,,No,PCIe 4.0 x16,2.0,,,,112,3rd Gen (Ampere),Yes,9/2023
GeForce RTX 3050,Samsung 8LPP,12/16/2022,"2,560","1,552","1,777",GDDR6,128,8,"14,000",224,"7,950","7,950",124.00,115, $ 174.99 ,,1.05%,8.73%,0.48%,45.43,45.43,0.71,27.12%,21.79%,1.14%,0.046,10.27%,1.28,8.78%,15.66%,,No,PCIe 4.0 x8,2.0,,,,80,3rd Gen (Ampere),Yes,9/2023
Tesla K10,Kepler,5/1/2012,"3,072",745,0,GDDR5,512,8,"5,000",320,0,"4,577",190.70,225, $ 21.95 ,,0.00%,5.03%,0.74%,0.0,208.52,8.69,0.00%,100.00%,14.01%,0.364,81.88%,14.579,100.00%,95.47%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,,0,No Tensor Cores,Yes,12/2019
Tesla P4,Pascal,9/13/2016,"2,560",810,"1,063",GDDR5,256,8,"6,000",192,0,"4,147",129.60,75, $ 72.15 ,,0.00%,4.55%,0.51%,0.0,57.48,1.8,0.00%,27.56%,2.90%,0.111,24.91%,2.661,18.25%,24.57%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,,0,No Tensor Cores,Yes,6/2021
GeForce RTX 2060 (6 GB),TSMC 12FFN,1/15/2019,"1,920","1,365","1,680",GDDR6,192,6,"14,000",336,"10,483","5,242",163.80,160, $ 122.50 ,,1.39%,5.76%,0.64%,85.58,42.79,1.34,51.09%,20.52%,2.16%,0.049,11.00%,2.743,18.81%,17.71%,,No,PCIe 3.0 x16,3.0,,,,240,2nd Gen (Turing),Yes,12/2022
RTX A2000 (6 GB),Ampere,8/10/2021,"3,328",562,"1,200",GDDR6,192,6,"12,000",288,"7,987","7,987",124.80,70, $ 369.99 ,,1.06%,8.77%,0.49%,21.59,21.59,0.34,12.89%,10.35%,0.54%,0.016,3.64%,0.778,5.34%,7.42%,,2-way NVLink,PCIe 4.0 x16,,4x mini DisplayPort,,,,104,3rd Gen (Ampere),Yes,12/2023
Tesla K20X,Kepler,11/12/2012,"2,688",732,0,GDDR5,384,6,"5,200",250,0,"3,935","1,312.00",235, $ 24.99 ,,0.00%,4.32%,5.13%,0.0,157.46,52.5,0.00%,75.51%,84.67%,0.24,53.94%,10.004,68.62%,68.40%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,,0,No Tensor Cores,Yes,12/2019
Tesla K20,Kepler,11/12/2012,"2,496",706,758,GDDR5,320,5,"5,200",208,0,"3,524","1,175.00",225, $ 18.95 ,,0.00%,3.87%,4.59%,0.0,185.96,62.01,0.00%,89.18%,100.00%,0.264,59.28%,10.976,75.29%,78.23%,,No,PCIe 2.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,,0,No Tensor Cores,Yes,12/2019
Tesla M4,Maxwell,11/10/2015,"1,024",872,"1,072",GDDR5,128,4,"5,500",88,0,"1,786",55.81,75, $ 650.00 ,,0.00%,1.96%,0.22%,0.0,2.75,0.09,0.00%,1.32%,0.14%,0.006,1.38%,0.135,0.93%,1.24%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (half-height, single-slot)",,,,0,No Tensor Cores,Yes,12/2020
